reference_time,is_anomaly,usage_end_time,cost,usage_amount,usage_unit,service_type
156.0,0,2024-08-07 20:00:00,0.0,583200.0,byte-seconds,Dataplex
157.0,0,2024-08-07 21:00:00,0.0,583200.0,byte-seconds,Dataplex
158.0,0,2024-08-07 22:00:00,0.0,583200.0,byte-seconds,Dataplex
159.0,0,2024-08-07 23:00:00,0.0,583200.0,byte-seconds,Dataplex
160.0,0,2024-08-08 00:00:00,0.0,583200.0,byte-seconds,Dataplex
161.0,0,2024-08-08 01:00:00,0.0,583200.0,byte-seconds,Dataplex
162.0,0,2024-08-08 02:00:00,0.0,583200.0,byte-seconds,Dataplex
163.0,0,2024-08-08 03:00:00,0.0,583200.0,byte-seconds,Dataplex
164.0,0,2024-08-08 04:00:00,0.0,583200.0,byte-seconds,Dataplex
165.0,0,2024-08-08 05:00:00,0.0,583200.0,byte-seconds,Dataplex
166.0,0,2024-08-08 06:00:00,0.0,583200.0,byte-seconds,Dataplex
167.0,0,2024-08-08 07:00:00,0.0,583200.0,byte-seconds,Dataplex
168.0,0,2024-08-08 08:00:00,0.0,583200.0,byte-seconds,Dataplex
169.0,0,2024-08-08 09:00:00,0.0,583200.0,byte-seconds,Dataplex
170.0,0,2024-08-08 10:00:00,0.0,583200.0,byte-seconds,Dataplex
171.0,0,2024-08-08 11:00:00,0.0,583200.0,byte-seconds,Dataplex
172.0,0,2024-08-08 12:00:00,0.0,583200.0,byte-seconds,Dataplex
173.0,0,2024-08-08 13:00:00,0.0,583200.0,byte-seconds,Dataplex
174.0,0,2024-08-08 14:00:00,0.0,583200.0,byte-seconds,Dataplex
175.0,0,2024-08-08 15:00:00,0.0,583200.0,byte-seconds,Dataplex
176.0,0,2024-08-08 16:00:00,0.0,583200.0,byte-seconds,Dataplex
177.0,0,2024-08-08 17:00:00,0.0,583200.0,byte-seconds,Dataplex
178.0,0,2024-08-08 18:00:00,0.0,583200.0,byte-seconds,Dataplex
179.0,0,2024-08-08 19:00:00,0.0,583200.0,byte-seconds,Dataplex
180.0,0,2024-08-08 20:00:00,0.0,583200.0,byte-seconds,Dataplex
181.0,0,2024-08-08 21:00:00,0.0,583200.0,byte-seconds,Dataplex
182.0,0,2024-08-08 22:00:00,0.0,583200.0,byte-seconds,Dataplex
183.0,0,2024-08-08 23:00:00,0.0,583200.0,byte-seconds,Dataplex
184.0,0,2024-08-09 00:00:00,0.0,583200.0,byte-seconds,Dataplex
185.0,0,2024-08-09 01:00:00,0.0,583200.0,byte-seconds,Dataplex
186.0,0,2024-08-09 02:00:00,0.0,583200.0,byte-seconds,Dataplex
187.0,0,2024-08-09 03:00:00,0.0,583200.0,byte-seconds,Dataplex
188.0,0,2024-08-09 04:00:00,0.0,583200.0,byte-seconds,Dataplex
189.0,0,2024-08-09 05:00:00,0.0,583200.0,byte-seconds,Dataplex
190.0,0,2024-08-09 06:00:00,0.0,583200.0,byte-seconds,Dataplex
191.0,0,2024-08-09 07:00:00,0.0,583200.0,byte-seconds,Dataplex
192.0,0,2024-08-09 08:00:00,0.0,583200.0,byte-seconds,Dataplex
193.0,0,2024-08-09 09:00:00,0.0,583200.0,byte-seconds,Dataplex
194.0,0,2024-08-09 10:00:00,0.0,583200.0,byte-seconds,Dataplex
195.0,0,2024-08-09 11:00:00,0.0,583200.0,byte-seconds,Dataplex
196.0,0,2024-08-09 12:00:00,0.0,583200.0,byte-seconds,Dataplex
197.0,0,2024-08-09 13:00:00,0.0,583200.0,byte-seconds,Dataplex
198.0,0,2024-08-09 14:00:00,0.0,583200.0,byte-seconds,Dataplex
199.0,0,2024-08-09 15:00:00,0.0,583200.0,byte-seconds,Dataplex
200.0,0,2024-08-09 16:00:00,0.0,583200.0,byte-seconds,Dataplex
201.0,0,2024-08-09 17:00:00,0.0,583200.0,byte-seconds,Dataplex
202.0,0,2024-08-09 18:00:00,0.0,583200.0,byte-seconds,Dataplex
203.0,0,2024-08-09 19:00:00,0.0,583200.0,byte-seconds,Dataplex
204.0,0,2024-08-09 20:00:00,0.0,583200.0,byte-seconds,Dataplex
205.0,0,2024-08-09 21:00:00,0.0,583200.0,byte-seconds,Dataplex
206.0,0,2024-08-09 22:00:00,0.0,583200.0,byte-seconds,Dataplex
207.0,0,2024-08-09 23:00:00,0.0,583200.0,byte-seconds,Dataplex
208.0,0,2024-08-10 00:00:00,0.0,583200.0,byte-seconds,Dataplex
209.0,0,2024-08-10 01:00:00,0.0,583200.0,byte-seconds,Dataplex
210.0,0,2024-08-10 02:00:00,0.0,583200.0,byte-seconds,Dataplex
211.0,0,2024-08-10 03:00:00,0.0,583200.0,byte-seconds,Dataplex
212.0,0,2024-08-10 04:00:00,0.0,583200.0,byte-seconds,Dataplex
213.0,0,2024-08-10 05:00:00,0.0,583200.0,byte-seconds,Dataplex
214.0,0,2024-08-10 06:00:00,0.0,583200.0,byte-seconds,Dataplex
215.0,0,2024-08-10 07:00:00,0.0,583200.0,byte-seconds,Dataplex
216.0,0,2024-08-10 08:00:00,0.0,583200.0,byte-seconds,Dataplex
217.0,0,2024-08-10 09:00:00,0.0,583200.0,byte-seconds,Dataplex
218.0,0,2024-08-10 10:00:00,0.0,583200.0,byte-seconds,Dataplex
219.0,0,2024-08-10 11:00:00,0.0,583200.0,byte-seconds,Dataplex
220.0,0,2024-08-10 12:00:00,0.0,583200.0,byte-seconds,Dataplex
221.0,0,2024-08-10 13:00:00,0.0,583200.0,byte-seconds,Dataplex
222.0,0,2024-08-10 14:00:00,0.0,583200.0,byte-seconds,Dataplex
223.0,0,2024-08-10 15:00:00,0.0,583200.0,byte-seconds,Dataplex
224.0,0,2024-08-10 16:00:00,0.0,583200.0,byte-seconds,Dataplex
225.0,0,2024-08-10 17:00:00,0.0,583200.0,byte-seconds,Dataplex
226.0,0,2024-08-10 18:00:00,0.0,583200.0,byte-seconds,Dataplex
227.0,0,2024-08-10 19:00:00,0.0,583200.0,byte-seconds,Dataplex
228.0,0,2024-08-10 20:00:00,0.0,583200.0,byte-seconds,Dataplex
229.0,0,2024-08-10 21:00:00,0.0,583200.0,byte-seconds,Dataplex
230.0,0,2024-08-10 22:00:00,0.0,583200.0,byte-seconds,Dataplex
231.0,0,2024-08-10 23:00:00,0.0,583200.0,byte-seconds,Dataplex
232.0,0,2024-08-11 00:00:00,0.0,583200.0,byte-seconds,Dataplex
233.0,0,2024-08-11 01:00:00,0.0,583200.0,byte-seconds,Dataplex
234.0,0,2024-08-11 02:00:00,0.0,583200.0,byte-seconds,Dataplex
235.0,0,2024-08-11 03:00:00,0.0,583200.0,byte-seconds,Dataplex
236.0,0,2024-08-11 04:00:00,0.0,583200.0,byte-seconds,Dataplex
237.0,0,2024-08-11 05:00:00,0.0,583200.0,byte-seconds,Dataplex
238.0,0,2024-08-11 06:00:00,0.0,583200.0,byte-seconds,Dataplex
239.0,0,2024-08-11 07:00:00,0.0,583200.0,byte-seconds,Dataplex
240.0,0,2024-08-11 08:00:00,0.0,583200.0,byte-seconds,Dataplex
241.0,0,2024-08-11 09:00:00,0.0,583200.0,byte-seconds,Dataplex
242.0,0,2024-08-11 10:00:00,0.0,583200.0,byte-seconds,Dataplex
243.0,0,2024-08-11 11:00:00,0.0,583200.0,byte-seconds,Dataplex
244.0,0,2024-08-11 12:00:00,0.0,583200.0,byte-seconds,Dataplex
245.0,0,2024-08-11 13:00:00,0.0,583200.0,byte-seconds,Dataplex
246.0,0,2024-08-11 14:00:00,0.0,583200.0,byte-seconds,Dataplex
247.0,0,2024-08-11 15:00:00,0.0,583200.0,byte-seconds,Dataplex
248.0,0,2024-08-11 16:00:00,0.0,583200.0,byte-seconds,Dataplex
249.0,0,2024-08-11 17:00:00,0.0,583200.0,byte-seconds,Dataplex
250.0,0,2024-08-11 18:00:00,0.0,583200.0,byte-seconds,Dataplex
251.0,0,2024-08-11 19:00:00,0.0,583200.0,byte-seconds,Dataplex
252.0,0,2024-08-11 20:00:00,0.0,583200.0,byte-seconds,Dataplex
253.0,0,2024-08-11 21:00:00,0.0,583200.0,byte-seconds,Dataplex
254.0,0,2024-08-11 22:00:00,0.0,583200.0,byte-seconds,Dataplex
255.0,0,2024-08-11 23:00:00,0.0,583200.0,byte-seconds,Dataplex
256.0,0,2024-08-12 00:00:00,0.0,583200.0,byte-seconds,Dataplex
257.0,0,2024-08-12 01:00:00,0.0,583200.0,byte-seconds,Dataplex
258.0,0,2024-08-12 02:00:00,0.0,583200.0,byte-seconds,Dataplex
259.0,0,2024-08-12 03:00:00,0.0,583200.0,byte-seconds,Dataplex
260.0,0,2024-08-12 04:00:00,0.0,583200.0,byte-seconds,Dataplex
261.0,0,2024-08-12 05:00:00,0.0,583200.0,byte-seconds,Dataplex
262.0,0,2024-08-12 06:00:00,0.0,583200.0,byte-seconds,Dataplex
263.0,0,2024-08-12 07:00:00,0.0,583200.0,byte-seconds,Dataplex
264.0,0,2024-08-12 08:00:00,0.0,583200.0,byte-seconds,Dataplex
265.0,0,2024-08-12 09:00:00,0.0,583200.0,byte-seconds,Dataplex
266.0,0,2024-08-12 10:00:00,0.0,583200.0,byte-seconds,Dataplex
267.0,0,2024-08-12 11:00:00,0.0,583200.0,byte-seconds,Dataplex
268.0,0,2024-08-12 12:00:00,0.0,583200.0,byte-seconds,Dataplex
269.0,0,2024-08-12 13:00:00,0.0,583200.0,byte-seconds,Dataplex
270.0,0,2024-08-12 14:00:00,0.0,583200.0,byte-seconds,Dataplex
271.0,0,2024-08-12 15:00:00,0.0,583200.0,byte-seconds,Dataplex
272.0,0,2024-08-12 16:00:00,0.0,583200.0,byte-seconds,Dataplex
273.0,0,2024-08-12 17:00:00,0.0,583200.0,byte-seconds,Dataplex
274.0,0,2024-08-12 18:00:00,0.0,583200.0,byte-seconds,Dataplex
275.0,0,2024-08-12 19:00:00,0.0,583200.0,byte-seconds,Dataplex
276.0,0,2024-08-12 20:00:00,0.0,583200.0,byte-seconds,Dataplex
277.0,0,2024-08-12 21:00:00,0.0,583200.0,byte-seconds,Dataplex
278.0,0,2024-08-12 22:00:00,0.0,583200.0,byte-seconds,Dataplex
279.0,0,2024-08-12 23:00:00,0.0,583200.0,byte-seconds,Dataplex
280.0,0,2024-08-13 00:00:00,0.0,583200.0,byte-seconds,Dataplex
281.0,0,2024-08-13 01:00:00,0.0,583200.0,byte-seconds,Dataplex
